Quantity of product,Income,Cost,Net Income,Avg Cost
4752,266112,617011.8400000001,-350899.8400000001,129.84
4724,264544,616611.21,-352067.20999999996,130.53
4739,265384,616848.12,-351464.12,130.16
4708,263648,616480.76,-352832.76,130.94
4715,264040,616488.3200000001,-352448.32000000007,130.75
4729,264824,616752.09,-351928.08999999997,130.42
4719,264264,616540.94,-352276.93999999994,130.65
4757,266392,617013.1599999999,-350621.1599999999,129.71
4756,266336,616989.8500000001,-350653.8500000001,129.73
4738,265328,616871.8,-351543.80000000005,130.2
4738,265328,616803.7,-351475.69999999995,130.18
4754,266224,616993.7,-350769.69999999995,129.78
4711,263816,616438.3,-352622.30000000005,130.85
4731,264936,616752.5800000001,-351816.5800000001,130.36
4758,266448,617107.3,-350659.30000000005,129.7
4755,266280,617017.06,-350737.06000000006,129.76
4723,264488,616587.16,-352099.16000000003,130.55
4756,266336,616992.8500000001,-350656.8500000001,129.73
4725,264600,616703.5,-352103.5,130.52
4741,265496,616895.46,-351399.45999999996,130.12
4739,265384,616780.04,-351396.04000000004,130.15
4735,265160,616800.55,-351640.55000000005,130.26
4725,264600,616703.5,-352103.5,130.52
4732,264992,616708.27,-351716.27,130.33
4732,264992,616776.44,-351784.43999999994,130.34
4744,265664,616850.86,-351186.86,130.03
4728,264768,616659.94,-351891.93999999994,130.43
4729,264824,616683.8799999999,-351859.8799999999,130.4
4718,264208,616629.3,-352421.30000000005,130.7
4755,266280,617084.95,-350804.94999999995,129.78
4751,266056,616988.43,-350932.43000000005,129.86
4727,264712,616635.98,-351923.98,130.45
4744,265664,616850.86,-351186.86,130.03
4723,264488,616655.44,-352167.43999999994,130.56
4730,264880,616707.8,-351827.80000000005,130.38
4727,264712,616704.21,-351992.20999999996,130.46
4717,264152,616536.76,-352384.76,130.71
4724,264544,616611.21,-352067.20999999996,130.53
4719,264264,616606.27,-352342.27,130.66
4731,264936,616684.4,-351748.4,130.35
4727,264712,616704.21,-351992.20999999996,130.46
4717,264152,616605.12,-352453.12,130.72
4728,264768,616728.1599999999,-351960.1599999999,130.44
4745,265720,616874.44,-351154.43999999994,130.01
4717,264152,616605.12,-352453.12,130.72
4748,265888,616897.59,-351009.58999999997,129.93
4727,264712,616704.21,-351992.20999999996,130.46
4720,264320,616562.08,-352242.07999999996,130.63
4733,265048,616803.28,-351755.28,130.32
4732,264992,616776.44,-351784.43999999994,130.34
4727,264712,616704.21,-351992.20999999996,130.46
4730,264880,616707.8,-351827.80000000005,130.38
4738,265328,616803.7,-351475.69999999995,130.18
4737,265272,616779.96,-351507.95999999996,130.2
4732,264992,616776.44,-351784.43999999994,130.34
4739,265384,616780.04,-351396.04000000004,130.15
4742,265552,616851.05,-351299.05000000005,130.08
4762,266672,617081.8,-350409.80000000005,129.58
4724,264544,616611.21,-352067.20999999996,130.53
4734,265104,616824.1000000001,-351720.1000000001,130.3
4743,265608,616895.29,-351287.29000000004,130.06
4740,265440,616803.73,-351363.73,130.13
4712,263872,616462.62,-352590.62,130.83
4730,264880,616707.8,-351827.80000000005,130.38
4746,265776,616898.0,-351122.0,129.98
4742,265552,616851.05,-351299.05000000005,130.08
4741,265496,616827.4,-351331.4,130.1
4733,265048,616732.12,-351684.12,130.3
4740,265440,616871.8,-351431.80000000005,130.14
4739,265384,616780.04,-351396.04000000004,130.15
4739,265384,616780.04,-351396.04000000004,130.15
4728,264768,616659.94,-351891.93999999994,130.43
4745,265720,616874.44,-351154.43999999994,130.01
4710,263760,616529.5,-352769.5,130.9
4740,265440,616871.8,-351431.80000000005,130.14
4742,265552,616851.05,-351299.05000000005,130.08
4716,264096,616580.92,-352484.92000000004,130.74
4751,266056,616988.43,-350932.43000000005,129.86
4731,264936,616752.5800000001,-351816.5800000001,130.36
4738,265328,616803.7,-351475.69999999995,130.18
4747,265832,616942.06,-351110.06000000006,129.96
4750,266000,616944.55,-350944.55000000005,129.88
4736,265216,616824.3200000001,-351608.32000000007,130.24
4733,265048,616732.12,-351684.12,130.3
4735,265160,616732.4199999999,-351572.4199999999,130.25
4730,264880,616707.8,-351827.80000000005,130.38
4729,264824,616683.8799999999,-351859.8799999999,130.4
4713,263928,616486.9199999999,-352558.9199999999,130.81
4754,266224,617058.6000000001,-350834.6000000001,129.8
4712,263872,616531.04,-352659.04000000004,130.84
4729,264824,616683.8799999999,-351859.8799999999,130.4
4742,265552,616851.05,-351299.05000000005,130.08
4731,264936,616752.5800000001,-351816.5800000001,130.36
4735,265160,616800.55,-351640.55000000005,130.26
4746,265776,616966.0,-351190.0,130.0
4724,264544,616679.48,-352135.48,130.54
4746,265776,616898.0,-351122.0,129.98
4734,265104,616758.95,-351654.94999999995,130.28
4720,264320,616630.3999999999,-352310.3999999999,130.64
4722,264432,616678.6,-352246.6,130.6
